state_code,default_rate_90,z_score,is_outlier
DF,50.802538444770725,2.4126882770961955,True
DF,56.06734831409271,2.7142189062172037,True
DF,74.33815876620304,3.7606401648988608,True
ES,84.78354132204262,4.889452777655531,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,41.696949825213366,2.202659286964048,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,100.0,5.838320643667176,True
ES,99.43769455683662,5.803256403215876,True
ES,100.0,5.838320643667176,True
ES,47.18039800583537,2.54459612546573,True
ES,100.0,5.838320643667176,True
ES,40.47886639594391,2.1267020456231736,True
ES,100.0,5.838320643667176,True
ES,51.47447941144648,2.812366435631581,True
ES,85.7873986482222,4.952051308564172,True
ES,68.95990870736154,3.902722761860542,True
ES,40.43839232987113,2.1241781639818473,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,92.64724105956303,4.217351715763785,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,52.1027120023415,2.161687827514914,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,63.382129310088686,2.7335699378558984,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,74.03938698471875,3.273907691405365,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
GO,58.92896312670265,2.5077882325452223,True
GO,56.1224962469572,2.365496467110802,True
GO,63.06691040744384,2.717587902051612,True
GO,64.06420493922114,2.7681521187928966,True
GO,69.09075566878195,3.0230052163002346,True
GO,53.100393296037915,2.2122716536222207,True
GO,67.72878693593731,2.9539515114938117,True
GO,100.0,4.5901467977222765,True
GO,52.824338160011706,2.198275275134415,True
GO,100.0,4.5901467977222765,True
GO,76.29750747651043,3.388397534011248,True
GO,76.9635511615949,3.4221668731369292,True
GO,100.0,4.5901467977222765,True
GO,100.0,4.5901467977222765,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,96.85463494417529,3.808321271416134,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,73.60475022007634,2.7620779468802508,True
MA,100.0,3.9498624976173136,True
MA,75.75532291071237,2.858853580317045,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,100.0,3.9498624976173136,True
MA,80.89798065541216,3.0902728496860647,True
MA,63.19147141971631,2.2934810673389507,True
MA,57.16680744538872,2.022371574087201,True
MA,57.953461207222205,2.057770943021974,True
MA,100.0,3.9498624976173136,True
MA,58.785221927638666,2.0952001222060272,True
MA,100.0,3.9498624976173136,True
MA,72.31988587054119,2.704259133385579,True
MA,78.90315344207724,3.0005057527597354,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,56.20066767828007,2.5969604968570597,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,98.98696993837504,4.906969213670815,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,100.0,4.961662144565444,True
MG,45.70040481830438,2.0300571316648335,True
MG,100.0,4.961662144565444,True
MG,94.88937722554638,4.685742456867978,True
MG,100.0,4.961662144565444,True
MG,50.1479691651173,2.2701786627864884,True
MG,100.0,4.961662144565444,True
